grupo;nombre;calorias;proteinas;carbohidratos;grasas;fibra
Cereales y derivados;Achita, kiwicha o achis;343;12.8;69.1;6.6;9.3
Cereales y derivados;Arroz pilado o pulido cocido;115;2.4;25.2;0.1;
Cereales y derivados;Arroz blanco corriente;358;7.8;77.6;0.7;
Cereales y derivados;Arroz con cáscara;325;5.9;75.7;2;4.1
Cereales y derivados;Avena envasada;380;13.7;71.3;4.7;
Cereales y derivados;Avena, hojuela cocida;54;1.3;10.9;0.5;
Cereales y derivados;Avena, hojuela cruda;326;13.3;72.2;4;10.6
Cereales y derivados;Cañihua amarilla;344;14.3;62.8;5;
Cereales y derivados;Cañihua gris;343;14;64;4.5;
Cereales y derivados;Cañihua, hojuelas de;376;17.6;60.7;8.3;
Cereales y derivados;Cañihua parda;343;13.8;66.2;3.5;
Cereales y derivados;Cebada con cáscara;289;8.4;77.5;2;17.3
Cereales y derivados;Cebada, llunka de (morón americano);252;1.9;77.1;0.7;17.3
Cereales y derivados;Cebada, mashka o machica;306;8.6;77.4;0.7;10.1
Cereales y derivados;Cebada para mote, pelada;328;8.2;73.3;1.1;
Cereales y derivados;Cebada tostada, harina integral;282;8.68;80.2;3.2;25.4
Cereales y derivados;Cebada perlada o resbalada cocida;60;1;17.7;0.1;3.8
Cereales y derivados;Cebada perlada o resbalada cruda;281;5.3;79.8;0.6;15.6
Cereales y derivados;Cebada tostada y molida (chaquepa);349;7.7;79.7;0.8;
Cereales y derivados;Chancay (bizcocho);355;8.8;64.4;6.9;
Cereales y derivados;Fideo crudo fortificado con hierro;337;9.4;77.7;0.2;3.2
Cereales y derivados;Fideo tallarín crudo fortificado con hierro;305;9.5;69.6;0.1;3.2
Cereales y derivados;Fideo tallarín sancochado fortiticado con hierro;90;3.1;21.3;0;1.8
Cereales y derivados;Galleta de soda (salada);433;10.1;68;14.7;3
Cereales y derivados;Galleta de vainilla (dulce);434;6;74.9;12.7;1.1
Cereales y derivados;Maíz alazán;346;8.2;72.7;3.7;
Cereales y derivados;Maíz alazán (jora fresca);289;5.4;62.3;2.8;
Cereales y derivados;Maíz alazán (jora seca);347;7;73.8;3.6;
Cereales y derivados;Maíz amarillo;355;6.7;73.6;4.8;
Cereales y derivados;Maíz, blanco crudo;341;5.9;76.1;4;3.2
Cereales y derivados;Maíz, blanco tostado;389;7.2;82.1;4.6;
Cereales y derivados;Maíz, cancha tostada;339;6.7;79.8;2.7;5.2
Cereales y derivados;Maíz (chochoca);349;5.2;78;2.5;
Cereales y derivados;Maíz, grano fresco (choclo);115;3.3;27.8;0.8;2.7
Cereales y derivados;Maíz, germinado seco;314;6.2;67;3.2;
Cereales y derivados;Maíz, harina de;325;8.7;71.2;6.5;9.6
Cereales y derivados;Maíz, maicena;363;0.26;91.3;0.1;0.9
Cereales y derivados;Maíz, morado sin coronta;355;7.3;76.2;3.4;
Cereales y derivados;Maíz, mote de (sancochado);103;2.6;21.1;1.3;
Cereales y derivados;Maíz, pachuco de;349;7.3;73.5;3.9;
Cereales y derivados;Maíz, para mote pelado;349;5.9;78.3;2.1;
Cereales y derivados;Maíz, para mote sin pelar;345;5.7;78.7;1.5;
Cereales y derivados;Maíz, polenta cruda de;322;8.3;74;1.2;1.6
Cereales y derivados;Maíz, tocosh crudo;192;2.6;41.3;2.2;
Cereales y derivados;Pan de cebada (serrano);295;7.2;66.2;0.2;
Cereales y derivados;Pan de labranza;328;9.6;71.8;0.3;
Cereales y derivados;Pan de molde;317;6.8;69.2;2.5;2.4
Cereales y derivados;Pan francés;277;8.4;62.9;0.2;2.4
Cereales y derivados;Pan francés fortificado con hierro;277;8.4;62.9;0.2;2.4
Cereales y derivados;Quinua, afrecho de;338;10.7;65.9;4.5;
Cereales y derivados;Quinua blanca (Junín);343;12.2;67.2;6.2;5.9
Cereales y derivados;Quinua blanca (Puno);346;13.3;67.1;6.1;5.9
Cereales y derivados;Quinua cocida;86;2.8;16.3;1.3;
Cereales y derivados;Quinua;343;13.6;66.6;5.8;5.9
Cereales y derivados;Quinua dulce, blanca (Junín);352;11.1;67.4;7.7;5.9
Cereales y derivados;Quinua dulce, blanca (Puno);340;11.6;68.9;5.3;5.9
Cereales y derivados;Quinua dulce, rosada (Junín);352;12.3;67.1;7.2;5.9
Cereales y derivados;Quinua, harina de;341;9.1;72.1;2.6;
Cereales y derivados;Quinua, hojuelas de;374;8.5;78.6;3.7;
Cereales y derivados;Quinua rosada (Puno);348;12.5;67.6;6.4;5.9
Cereales y derivados;Quinua, sémola de;355;19.5;53.8;10.7;5.9
Cereales y derivados;Sorgo;307;8;72.8;4;6.3
Cereales y derivados;Trigo, harina fortificada con hierro de;354;10.5;76.3;2;2.7
Cereales y derivados;Trigo, llunka de;312;9.1;71.8;1;
Cereales y derivados;Trigo, harina tostada de (machica);347;7.9;79.9;1.2;2.7
Cereales y derivados;Trigo, mote de (sancochado);154;2.5;37;0.6;
Cereales y derivados;Trigo para mote pelado cocido;69;1.9;14.7;0.1;
Cereales y derivados;Trigo para mote pelado crudo;355;9.8;74.6;0.9;
Cereales y derivados;Trigo, pelado;359;8.4;76.1;1.4;
Cereales y derivados;Trigo resbalado cocido;90;2.8;18.6;0.3;
Cereales y derivados;Trigo resbalado crudo;357;11.4;71.8;1.8;
Cereales y derivados;Trigo, sémola de;335;7.8;78.4;1.1;3.9
Cereales y derivados;Trigo;303;10.3;74.7;1.9;12.2
Verduras, hortalizas, y derivados;Acelga, hojas de (sin tallo);27;2.2;5.3;0.3;1.6
Verduras, hortalizas, y derivados;Acelga, tallos de;14;0.7;2.8;0.3;1.6
Verduras, hortalizas, y derivados;Ají amarillo fresco P.C.;39;0.9;8.8;0.7;
Verduras, hortalizas, y derivados;Ají amarillo molido fresco sin sal;52;1.9;9.2;1.7;
Verduras, hortalizas, y derivados;Ají amarillo seco;302;7.3;64.8;6.3;28.7
Verduras, hortalizas, y derivados;Ají panca P.C.;292;7;58.5;7.8;28.7
Verduras, hortalizas, y derivados;Ají colorado no picante (molido con sal);48;1.9;9.2;1.3;1.5
Verduras, hortalizas, y derivados;Ají colorado molido;42;2.1;8;1;1.5
Verduras, hortalizas, y derivados;Ají de mesa P.C.;40;1.8;7.2;1.2;
Verduras, hortalizas, y derivados;Ají de vaina P.C.;58;2.6;11.9;1.1;
Verduras, hortalizas, y derivados;Ají dulce P.C.;26;0.7;6;0.4;1.7
Verduras, hortalizas, y derivados;Ají verde P.C.;57;2.5;12.4;0.8;
Verduras, hortalizas, y derivados;Ajo sin cáscara;129;5.6;30.4;0.8;2.1
Verduras, hortalizas, y derivados;Albahaca sin tallo;43;2.9;7.3;1.2;3.9
Verduras, hortalizas, y derivados;Alcachofa P.C.;19;2.8;2.9;0.2;5.4
Verduras, hortalizas, y derivados;Alfalfa brotes tiernos;29;4;3.8;0.7;2.5
Verduras, hortalizas, y derivados;Apio sin hojas;21;0.7;4.8;0.2;1.6
Verduras, hortalizas, y derivados;Berenjena P.C.;37;1;7.9;0.8;3.4
Verduras, hortalizas, y derivados;Berenjena costeña o tomate de árbol;41;1.3;9.8;0.3;
Verduras, hortalizas, y derivados;Berro P.C.;33;3.4;5;0.8;0.5
Verduras, hortalizas, y derivados;Brócoli P.C.;40;4.9;5.7;0.9;2.6
Verduras, hortalizas, y derivados;Caigua P.C.;15;0.5;3.3;0.2;
Verduras, hortalizas, y derivados;Caigua serrana P.C.;20;1.5;4.1;0.1;
Verduras, hortalizas, y derivados;Calabaza china P.C.;23;0.7;5.8;0.1;2.9
Verduras, hortalizas, y derivados;Calabaza italiana P.C.;21;0.5;4.9;0.3;1.7
Verduras, hortalizas, y derivados;Cebolla blanca P.C.;32;0.9;7.4;0.1;1.4
Verduras, hortalizas, y derivados;Cebolla chilena P.C.;26;0.8;5.9;0.1;1.4
Verduras, hortalizas, y derivados;Cebollita china P.C.;39;2.3;7.5;0.4;
Verduras, hortalizas, y derivados;Cebolla de cabeza P.C.;49;1.4;11.3;0.2;1.4
Verduras, hortalizas, y derivados;Cebolla de cola P.C.;33;0.9;7.8;0.1;1.4
Verduras, hortalizas, y derivados;Col blanca P.C.;23;1.3;4.8;0.3;2.3
Verduras, hortalizas, y derivados;Col crespa o repollo, sin cogollo;24;1.5;4.9;0.3;2.3
Verduras, hortalizas, y derivados;Col china sin tallo;26;1.8;5.3;0.3;1
Verduras, hortalizas, y derivados;Col de “Bruselas” P.C.;58;4.6;12.3;0.4;3.8
Verduras, hortalizas, y derivados;Col, hojas de P.C.;39;2.7;7.6;0.6;2
Verduras, hortalizas, y derivados;Col negra P.C.;27;1.7;5.5;0.4;3.6
Verduras, hortalizas, y derivados;Col silvestre P.C.;54;2.5;12.1;0.6;
Verduras, hortalizas, y derivados;Coliflor sin tallo y sin hojas;28;2.2;4.4;0.6;2.5
Verduras, hortalizas, y derivados;Culantro sin tallo;44;3.3;7;1.3;2.8
Verduras, hortalizas, y derivados;Chiclayo, calabaza P.C.;22;0.6;5.6;0.1;1.7
Verduras, hortalizas, y derivados;Chonta P.C.;49;3.4;9.7;0.7;
Verduras, hortalizas, y derivados;Escarola P.C.;18;1.2;3.8;0.2;3.1
Verduras, hortalizas, y derivados;Espárragos P.C.;23;2.2;4.6;0.2;2.1
Verduras, hortalizas, y derivados;Espinaca blanca P.C.;32;1.9;6.3;0.6;2.2
Verduras, hortalizas, y derivados;Espinaca negra sin tronco;32;2.8;4.9;0.9;2.2
Verduras, hortalizas, y derivados;Frijolito chino germinado;41;4.5;6.7;0.7;
Verduras, hortalizas, y derivados;Hierbabuena P.C.;33;3.1;7;1;8
Verduras, hortalizas, y derivados;Huacatay sin tallo;47;5;8.8;0.8;
Verduras, hortalizas, y derivados;Janchoy, hojas de;27;1.6;6;0.2;
Verduras, hortalizas, y derivados;Jetka, hojas de;66;7.3;9.5;1.7;
Verduras, hortalizas, y derivados;Kailán, hojas de;48;3.2;9.1;0.9;
Verduras, hortalizas, y derivados;Kailán, tallos de;24;1.2;5.2;0.3;
Verduras, hortalizas, y derivados;Lechuga americana P.C.;11;0.6;2.4;0.1;1.2
Verduras, hortalizas, y derivados;Lechuga larga P.C.;19;1.5;3.9;0.2;2.1
Verduras, hortalizas, y derivados;Lechuga redonda P.C.;12;1.3;2.1;0.2;1.3
Verduras, hortalizas, y derivados;Manchay P.C.;53;0.4;14.4;0.1;
